section,page_no,sl_no_on_page,applicant,date_application,date_ruling,subject,ruling_no,pdf_link,pdf_available
Delhi Orders,9,83,M/s RV International.,24.09.2024,19.11.2024,Classification of goods,CAAR/Del/RV Intl/15/2024,https://www.cbic.gov.in/CONTENTREPO/CAAR/car-del-order-15-03012025.pdf,YES
Delhi Orders,9,84,M/s RV International.,24.09.2024,19.11.2024,Classification of goods,CAAR/Del/RV Intl/14/2024,https://www.cbic.gov.in/CONTENTREPO/CAAR/car-del-order-14-03012025.pdf,YES
Delhi Orders,9,85,M/s RV International.,24.09.2024,19.11.2024,Classification of goods,CAAR/Del/RV Intl/13/2024,https://www.cbic.gov.in/CONTENTREPO/CAAR/car-del-order-13-03012025.pdf,YES
Delhi Orders,9,86,Lujee International Company Ltd.,23.09.2024,18.11.2024,Classification of goods,CAAR/Del/Lujee/12/2024,https://www.cbic.gov.in/CONTENTREPO/CAAR/car-del-order-12-19112024.pdf,YES
Delhi Orders,9,87,Lujee International Company Ltd.,23.09.2024,18.11.2024,Classification of goods,CAAR/Del/Lujee/11/2024,https://www.cbic.gov.in/CONTENTREPO/CAAR/car-del-order-11-19112024.pdf,YES
Delhi Orders,9,88,Lujee International Company Ltd.,23.09.2024,18.11.2024,Classification of goods,CAAR/Del/Lujee/10/2024,https://www.cbic.gov.in/CONTENTREPO/CAAR/car-del-order-10-19112024.pdf,YES
Delhi Orders,9,89,Lujee International Company Ltd.,23.09.2024,18.11.2024,Classification of goods,CAAR/Del/Lujee/9/2024,https://www.cbic.gov.in/CONTENTREPO/CAAR/car-del-order-9-19112024.pdf,YES
Delhi Orders,9,90,M/s Betel Nuts Suppliers LLP.,23.09.2024,18.11.2024,Classification of goods,CAAR/Del/Betelnut/8/2024,https://www.cbic.gov.in/CONTENTREPO/CAAR/car-del-order-8-19112024.pdf,YES
Delhi Orders,10,91,M/s Betel Nuts Suppliers LLP.,23.09.2024,18.11.2024,Classification of goods,CAAR/Del/Betelnut/7/2024,https://www.cbic.gov.in/CONTENTREPO/CAAR/car-del-order-7-19112024.pdf,YES
Delhi Orders,10,92,M/s Betel Nuts Suppliers LLP.,23.09.2024,18.11.2024,Classification of goods,CAAR/Del/Betelnut/6/2024,https://www.cbic.gov.in/CONTENTREPO/CAAR/car-del-order-6-19112024.pdf,YES
Delhi Orders,10,93,M/s Cuthbert Passion LLP (68/2024).,29.07.2024,10.09.2024,"Roasted Areca Nut (whole, cut, split)",CAAR/Del/Cuthbert/05/2024,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-del-order-05-17092024.pdf,YES
Delhi Orders,10,94,M/s Samkwang India Electronic Pvt. Ltd.,28.05.2024,27.08.2024,Applicability of notification on Assy case front.,CAAR/Del/Samkwang/04/2024,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-del-04-samkwang-28082024.pdf,YES
